country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Luxembourg,1982,80.501,12590.9767956204,9.35705099427385,4602316793.21914,9773556623.101154,9773556623.101154,9773556623.101154,9773556623.101154,72.6503414634146,9773556623.101154,89.8234867320515,8057.80999931605
Norway,1982,70.918,15224.8939100982,11.3409961685824,62647195537.6511,1.70000004768372,9773556623.101154,9773556623.101154,9773556623.101154,76.0109756097561,9773556623.101154,54.0629382774248,4262.39171067664
Qatar,1982,89.663,24301.0518421976,5.6999999999998,7596703214.28571,9773556623.101154,9773556623.101154,9773556623.101154,9773556623.101154,71.504,9773556623.101154,100.0,15385.6747108199
Saudi Arabia,1982,68.673,13680.643250459,1.02103960396036,153238991867.452,9773556623.101154,9773556623.101154,9773556623.101154,9773556623.101154,64.304,9773556623.101154,99.9829302117114,4232.71120100661
Sweden,1982,83.1,13738.9722980374,8.58918509047116,114380557730.876,3.14000010490417,9773556623.101154,9773556623.101154,9773556623.101154,76.3273170731707,9773556623.101154,52.3100501423737,4877.7998965318
Switzerland,1982,74.406,18015.1059588746,5.65510182392343,115140108850.909,0.400000005960464,9773556623.101154,9773556623.101154,9773556623.101154,76.0339024390244,9773556623.101154,64.3492589272228,2984.22326318443
Brunei Darussalam,1983,65.399,18526.7326631337,1.1661807580175,3844723142.45149,6.03999996185303,9991064762.665512,9991064762.665512,9991064762.665512,70.09,9991064762.665512,99.5080190856067,7110.86000106012
Kuwait,1983,97.034,12021.3696468705,4.71816809275154,20869434305.3173,1.01999998092651,9991064762.665512,9991064762.665512,9991064762.665512,72.02,9991064762.665512,99.9879125280898,7014.80506074787
Luxembourg,1983,80.557,12374.0304234408,8.66927159808515,4524217751.47929,3.20000004768372,9991064762.665512,9991064762.665512,9991064762.665512,72.7811219512195,9991064762.665512,88.7137963948379,7576.20712101569
Norway,1983,71.049,14927.5174766339,8.4652443220922,61627240831.0948,2.03999996185303,9991064762.665512,9991064762.665512,9991064762.665512,76.0668292682927,9991064762.665512,52.954560548171,4427.79292477144
Qatar,1983,89.811,19571.8082023286,2.74361400094614,6467582307.69231,9991064762.665512,9991064762.665512,9991064762.665512,9991064762.665512,71.709,9991064762.665512,100.0,15029.2446149842
Sweden,1983,83.1,12608.2291505865,8.87302152363218,105014356666.797,3.48000001907349,9991064762.665512,9991064762.665512,9991064762.665512,76.5517073170732,9991064762.665512,48.3281310106702,4941.26701142858
Switzerland,1983,74.346,17874.2506500052,2.94979443545727,114730757467.486,0.899999976158142,9991064762.665512,9991064762.665512,9991064762.665512,76.0312195121951,9991064762.665512,65.6001173562961,3173.30757763205
Australia,1984,85.611,12421.4925977337,3.96039603960395,193519289983.699,8.98999977111816,10225634370.278742,10225634370.278742,10225634370.278742,75.3878048780488,10225634370.278742,93.2067142551973,4641.14534387127
Brunei Darussalam,1984,65.548,17619.1906562395,3.07396733909727,3782523088.4628,10225634370.278742,10225634370.278742,10225634370.278742,10225634370.278742,70.358,10225634370.278742,99.6151416812615,7920.39388490884
Luxembourg,1984,80.613,12126.9391987909,6.43585780786995,4438435492.87908,2.63000011444092,10225634370.278742,10225634370.278742,10225634370.278742,73.0532195121951,10225634370.278742,88.9578856151929,8112.67547910098
