country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Italy,1971,64.75,2305.60975059607,4.79166438333785,124672365792.759,5.44000005722046,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.8068292682927,3042832806.7755327,93.4644277422204,1949.14872333929
Jamaica,1971,41.858,816.40973877851,5.3361792958586,1539865513.92891,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,66.795,3042832806.7755327,86.2206009044804,1065.8979727412
Jordan,1971,56.308,414.491901930353,4.81586402365269,678241388.966676,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,61.612,3042832806.7755327,99.2342705563827,300.883079104332
Kenya,1971,10.778,149.464026233925,3.78020612544905,1778391289.19123,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,54.258,3042832806.7755327,21.0622979543298,444.747667701787
"Korea, Rep.",1971,42.261,301.176567717333,13.5117023313079,9903499927.98502,4.57000017166138,3042832806.7755327,3042832806.7755327,3042832806.7755327,62.6121951219512,3042832806.7755327,99.3310870463035,516.110749286312
Luxembourg,1971,74.916,4435.39800823681,4.67221498041405,1518773421.37846,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,69.195243902439,3042832806.7755327,96.0918434994489,11863.0895885474
Malaysia,1971,34.271,402.209657196733,1.61303596395806,4244340333.51899,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,63.584,3042832806.7755327,75.2330386950626,573.611874354244
Malta,1971,89.708,874.066335595898,2.32381215838811,264579879.784878,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,69.2225365853659,3042832806.7755327,3042832806.7755327,695.95639246779
Mexico,1971,59.779,755.332488401455,5.46902899376842,39200000000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,61.155,3042832806.7755327,83.192252602741,828.027016624541
Morocco,1971,35.012,276.505889892578,4.15535206835327,4356633663.36634,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,49.243,3042832806.7755327,73.5645461366814,188.465041812047
